explanation_id,explanation_type,axis1_3v,axis1_std,axis1_nvotes,axis2_3v,axis2_std,axis2_nvotes,axis3_3v,axis3_std,axis3_nvotes,axis4_3v,axis4_std,axis4_nvotes
00089807-009d-42f7-ad22-838d8544fd25,abductive,1.0,0.0,2,1.0,0.0,2,,0.0,0,1.0,0.0,2
002e834b-f533-4608-8a47-319e6f88f53e,feature_attribution,1.0,0.0,3,3.67,0.577,3,,0.0,0,3.33,1.155,3
0034f590-e996-4ddc-8866-1de246e777b6,counterfactual,1.0,0.0,3,1.0,0.0,3,2.0,0.0,3,2.0,1.732,3
0078d5a5-4ec5-443c-be0a-c1fc98c81117,abductive,1.0,0.0,2,1.0,0.0,2,,0.0,0,1.0,0.0,2
00ce5a2f-8044-4006-870c-6486348ce140,feature_attribution,1.0,0.0,3,4.0,0.0,3,,0.0,0,4.33,0.577,3
01107ab2-be1e-4e59-86df-feb1b89a8b00,counterfactual,1.0,0.0,3,2.0,1.0,3,1.0,0.0,3,3.67,2.309,3
01a1bd5b-4c26-4b37-b096-181569a96b95,counterfactual,1.0,0.0,3,3.33,0.577,3,1.33,0.577,3,5.0,0.0,3
01daa697-aefe-4c18-95a1-cfc5d4012103,abductive,1.0,0.0,3,1.0,0.0,3,,0.0,0,4.33,0.577,3
0226123e-1c1d-44ea-8cec-809bc78f0001,counterfactual,1.0,0.0,3,1.67,1.155,3,1.0,0.0,3,2.0,1.732,3
0248ba48-83a0-49fb-b8eb-300c43e850e6,counterfactual,1.0,0.0,3,1.33,0.577,3,1.0,0.0,3,2.33,1.155,3
025dbe17-43c5-4d28-aa32-51a3386b0fd6,abductive,1.0,0.0,3,1.0,0.0,3,,0.0,0,5.0,0.0,3
027a63b2-4abc-42eb-b748-73a16c29ec9e,abductive,1.0,0.0,3,1.0,0.0,3,,0.0,0,5.0,0.0,3
0294d4d5-b110-4cee-b9a6-7216fd12cbd4,counterfactual,3.0,1.732,3,4.0,0.0,3,1.67,1.155,3,5.0,0.0,3
0314a8f1-c53d-4df7-aa42-c970fc155f4a,contrastive,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
0370da73-928c-41dd-9105-32e13768112d,feature_attribution,2.0,0.0,3,4.33,0.577,3,,0.0,0,5.0,0.0,3
0386941d-dfe1-48b8-8ab2-e727f37cfaac,counterfactual,1.0,0.0,2,4.5,0.707,2,3.5,0.707,2,5.0,0.0,2
03a660f9-40b8-4735-8dcf-8845784b2163,counterfactual,1.0,0.0,3,1.0,0.0,3,5.0,0.0,3,1.0,0.0,3
03b573df-564d-4305-adbc-65bdfa491ce5,counterfactual,1.0,0.0,3,4.33,0.577,3,3.0,0.0,3,4.33,0.577,3
03ebbfa7-158f-44db-b837-e7d3991804dc,feature_attribution,1.0,0.0,2,4.5,0.707,2,,0.0,0,5.0,0.0,2
040c7269-9b6b-40e1-ab80-aaf8f6a85fc3,contrastive,1.0,0.0,3,1.67,1.155,3,1.33,0.577,3,2.33,1.155,3
040f922d-8dbb-4680-bf42-2b3cace9239f,contrastive,1.0,0.0,3,1.67,1.155,3,1.0,0.0,3,4.33,0.577,3
0413c832-bae7-491f-9f74-24ccfc1faee8,feature_attribution,2.0,0.0,3,5.0,0.0,3,,0.0,0,5.0,0.0,3
0455887e-720c-4734-835f-c51dd9c3fff8,feature_attribution,2.0,0.0,3,5.0,0.0,3,,0.0,0,5.0,0.0,3
04ac1857-3ada-46a9-b85d-9b254f7a9a4a,counterfactual,1.0,0.0,3,1.67,0.577,3,2.0,1.0,3,1.0,0.0,3
04d807b7-ef40-4e43-baed-67e38b94322d,feature_attribution,1.67,0.577,3,3.67,0.577,3,,0.0,0,2.0,0.0,3
050e261b-ccf5-4569-b215-358ff413e9b6,abductive,1.0,0.0,3,1.0,0.0,3,,0.0,0,5.0,0.0,3
